Filer-EIN,BusinessName-BusinessNameLine1Txt,AccountsReceivableGrp-BOYAmt,AccountsReceivableGrp-EOYAmt
540505878,CHATHAM HALL,21540,60574
042104273,MISS HALL'S SCHOOL INC,35626,91221
041975990,THE WILLISTON NORTHAMPTON SCHOOL,3611,21748
390806363,WAYLAND ACADEMY,57362,84963
232263178,THE HILLSIDE SCHOOL,2658,1283
020222239,TILTON SCHOOL,16583,9729
060646888,SALISBURY SCHOOL INC,265377,158402
042108341,Allen-Chase Foundation,24534,368
520591413,SAINT JAMES SCHOOL,125480,114390
141413770,Millbrook School,,
020147630,HOLDERNESS SCHOOL,15410,59242
510236362,Christchurch School Foundation,171510,185269
020222227,ST PAUL'S SCHOOL,274466,225595
020222221,THE WHITE MOUNTAIN SCHOOL,9692,17905
042429311,LANDMARK SCHOOL INC,252611,686606
560530248,ASHEVILLE SCHOOL INC,477394,350102
042103636,WALNUT HILL SCHOOL FOR THE ARTS,208633,114834
020223317,Brewster Academy,232398,206750
020223634,THE NEW HAMPTON SCHOOL,6145079,7155805
020222179,PROCTOR ACADEMY,403099,257316
020222147,KIMBALL UNION ACADEMY,342879,961978
050270487,THE WINCHENDON SCHOOL INC,1608892,1850408
231365963,REGENTS OF THE MERCERSBURG COLLEGE,39097,47990
060646961,WESTOVER SCHOOL INC,176798,116216
060646786,Miss Porter's School Inc,76436,103754
060689699,ETHEL WALKER SCHOOL INC,1079414,739212
042105775,TRUSTEES OF LAWRENCE ACADEMY,3411431,3476058
060910420,CHOATE ROSEMARY HALL FOUNDATION,53072,128276
210639868,The Hun School of Princeton,667705,918009
010211509,GOULD ACADEMY,65012,32550
231352656,LINDEN HALL SCHOOL FOR GIRLS,16609,66496
060655480,AVON OLD FARMS SCHOOL INC,69210,33753
060647018,THE HOTCHKISS SCHOOL,412948,242263
060646921,THE TAFT SCHOOL CORPORATION,7609854,8287994
340714390,WESTERN RESERVE ACADEMY,20131,282996
382015048,CRANBROOK EDUCATIONAL COMMUNITY,1340775,1447406
520591645,OLDFIELDS SCHOOL INC,160257,0
350868071,Culver Educational Foundation,380196,954144
042103579,TRUSTEES OF PHILLIPS ACADEMY,2145618,2524398
042103623,ST MARK'S SCHOOL OF SOUTHBOROUGH INC,162768,234536
042105838,WILBRAHAM AND MONSON ACADEMY,10803,18818
042103573,THE FAY SCHOOL INC,600685,349559
010211532,KENTS HILL SCHOOL,86434,161331
210634492,The Peddie School,1477861,582562
620475837,THE MCCALLIE SCHOOL,959694,1152239
131740472,MASTERS SCHOOL,134882,91659
951644630,CATE SCHOOL,280153,250334
060692379,RUMSEY HALL SCHOOL INC,70303,23579
250995765,KISKIMINETAS SPRINGS SCHOOL,1652897,2591633
010880911,Ross Institute,251715,185748
141601551,TRINITY-PAWLING SCHOOL CORPORATION,,
540505925,THE MADEIRA SCHOOL INC,961119,2198021
060646648,Forman School Inc,107597,100484
010221344,BRIDGTON ACADEMY,238018,247342
050259009,ST GEORGE'S SCHOOL,225795,210290
042105855,WORCESTER ACADEMY,237592,201949
870290194,WASATCH ACADEMY,37608,0
231352667,PERKIOMEN SCHOOL,86329,54640
060646805,The Rectory School Inc,51362,86651
362216167,LAKE FOREST ACADEMY,2870826,2915809
042104265,GROTON SCHOOL,427062,359886
141338390,EMMA WILLARD SCHOOL,137112,292238
231370498,Church Farm School,89334,269153
060646661,THE GUNNERY INC,44094,55297
510079506,St Andrew's School Of Delaware Inc,242709,485066
042103574,THE FESSENDEN SCHOOL,357822,363352
060678539,SUFFIELD ACADEMY,6644372,7375568
042103564,THE GOVERNOR'S ACADEMY,136445,99388
540506326,THE PROTESTANT EPISCOPAL HIGH SCHOOL,422438,195346
410696908,SHATTUCK-ST MARY'S SCHOOL,190762,276685
210634503,THE LAWRENCEVILLE SCHOOL,1364860,1402885
050262717,ST ANDREW'S SCHOOL,5298,23628
042104048,THE TRUSTEES OF CUSHING ACADEMY,773112,946532
540505868,THE BLUE RIDGE SCHOOL INC,68142,54299
580566169,DARLINGTON SCHOOL INC,329608,611862
141430542,NORTH COUNTRY SCHOOL INC,1682577,1024083
060646681,INDIAN MOUNTAIN SCHOOL INC,290673,247282
042103562,Dana Hall School,146567,77327
042121313,BERKSHIRE SCHOOL INC,119780,108973
116112414,THE STONY BROOK SCHOOL,97878,229373
060646784,Pomfret School Incorporated,43321,96732
030179600,VERMONT ACADEMY,389148,371878
540505898,FOXCROFT SCHOOL,179606,164038
941156652,SANTA CATALINA SCHOOL,6604731,6044348
231352647,THE HILL SCHOOL,216304,115593
560532314,SAINT MARYS SCHOOL,88184,56108
951856591,THE WEBB SCHOOLS,147263,257203
520591516,GARRISON FOREST SCHOOL INC,633617,648927
951642398,The Thacher School,407192,365782
042103632,Tabor Academy,475510,153080
042103563,TRUSTEES OF DEERFIELD ACADEMY,405930,570686
016021559,Hyde School,91951,17104
060662137,HAMDEN HALL SCHOOL INC,603460,680893
042103964,THE CAMBRIDGE SCHOOL OF WESTON INC,66755,71077
930630376,Delphi Schools Inc,81109,54470
060653119,THE LOOMIS INSTITUTE,9421675,8770677
562108610,WINSTON SALEM ACADEMY INC,0,0
020223580,CARDIGAN MOUNTAIN SCHOOL,156636,154067
060662113,THE CHESHIRE ACADEMY,6297,1780
221500475,BLAIR ACADEMY,592404,471354
041200600,CONCORD ACADEMY,286309,
540519590,WOODBERRY FOREST SCHOOL,802693,521589
221756952,PURNELL SCHOOL,115,1500
060646960,TRUSTEES OF WESTMINSTER SCHOOL INC,,
042130844,BROOKS SCHOOL,77544,78175
030179305,PUTNEY SCHOOL INC,99862,144426
520591488,CORPORATION OF ST TIMOTHY'S SCHOOL,25046,109690
020222174,PHILLIPS EXETER ACADEMY,533040,255734
042103603,MILTON ACADEMY,113602,247629
580593430,Rabun Gap-Nacoochee School,417319,491456
042103821,MIDDLESEX SCHOOL,69144,85173
210635004,THE PENNINGTON SCHOOL,141360,186691
060646566,CANTERBURY SCHOOL INC,726566,625284
061623476,The Trinity Foundation dba Marianapolis Preparatory School,84483,240119
042109865,NORTHFIELD MOUNT HERMON SCHOOL,4043179,3994636
